Dataset,Base Service Rate (%),RL Service Rate (%),Service Rate Improvement (%),Base Optimal Rate (%),RL Optimal Rate (%),Optimal Rate Improvement (%),Base Total Time Cost,RL Total Time Cost,Time Cost Improvement (%),Base Total Travel Time,RL Total Travel Time,Base Total Charging Time,RL Total Charging Time,Base Total Penalty Time,RL Total Penalty Time,Base Processing Time (s),RL Processing Time (s)
large,100.0,100.0,0.0,97.0,93.0,-4.123711340206178,62.22667905270971,62.688122336200216,-0.7415521614123631,39.24100895306443,39.55218050281124,22.625,22.625,0.36067009964528085,0.5109418333889792,0.02432727813720703,2.0343809127807617
medium,100.0,100.0,0.0,100.0,100.0,0.0,22.551930929272366,22.207345503336356,1.5279641775096922,11.801930929272364,11.457345503336356,10.75,10.75,0.0,0.0,0.005979299545288086,0.03488516807556152
small,100.0,100.0,0.0,100.0,100.0,0.0,9.877155624540778,9.704659040612176,1.7464196220622175,4.127155624540778,3.954659040612176,5.75,5.75,0.0,0.0,0.0029904842376708984,0.0069768428802490234
